,address,value
0,addr1qyje793hn758npgw7z0h5k568k77pehm8rvwxre6wxgf8xs3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqwe9y3u,8999800000
1,addr1qxd7nm9c0e9ph2wvzqm28ttjgfejvcw89gx9rtjcdzjff8q3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqyxk8uk,1738647
2,addr1qye4atedchm9excthq64myn7s8vhk3xlda9kmae2mdagdag3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqv20p6w,36622826770
3,addr1q9lzggzajcxem2j9m7eqaan4azzqfjs2nke5wtl2mxhnzec3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqelt3mx,3008974780
4,addr1qxg57853j6s39hnup965ns3z8d46dwrsdhrja7pst705uzc3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqjx9p2k,12764756868
5,addr1q9jkp4fadhl4zrm3hpagaxmxgfsqkj4crwlwudnesmmt9hs3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqyhd2l7,1344798
6,addr1qyv4e4r6mvwy0xv7ykk5e767kzvs926kgv35l9hr0w38e8g3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqrvzza0,4656279724
7,addr1q9jkp4fadhl4zrm3hpagaxmxgfsqkj4crwlwudnesmmt9hs3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqyhd2l7,1344798
8,addr1q8cgy084r6hc6qp8z978g7a694j4q2dsmc2jd7lq5a7ntmq3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqmzy9ww,21001713723
9,addr1q9jkp4fadhl4zrm3hpagaxmxgfsqkj4crwlwudnesmmt9hs3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqyhd2l7,1344798
10,addr1qxp26jj7extdwqpdq68xxaaye0kp4cp3fvd2nf2spn96aec3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkq73ywt9,3968484885
11,addr1qx74uvlrskjp6662a6yecr8qgk54f5p2w5tadjnl5mt37tg3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqyn9cq6,5442898166
12,addr1q9jkp4fadhl4zrm3hpagaxmxgfsqkj4crwlwudnesmmt9hs3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqyhd2l7,1344798
13,addr1qxj0wf6pr0690ayfu8vzkxsjlu57hv43wv835yde5nzrxrq3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqzqyuh3,11394136734
14,addr1q9jkp4fadhl4zrm3hpagaxmxgfsqkj4crwlwudnesmmt9hs3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqyhd2l7,1344798
15,addr1q93z0jac9y88gyhddtkxmqp2qguluza43gpr3d4ml2vhpgc3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqhasv3d,1000000
16,addr1qymufdgv4eej7m62fd3f2tvc3ahj7jhpqc88l8s2p4ljp6s3k68t2msdpuqv9yqxmkxsc036lwkln63lvke9rmazgpkqpwcu0x,17207520768
